HIP ID,aim_parent_company_id,aim_brand_company_id,isin,HIP_industry,aim_category,parent_name,brand_name,display_name,hip_rating_currently_unavailable,hip_score (reference),earth_score (reference),legal_judgments,lobbying,board_diversity,decision_making,metrics,ceo_comp_to_employee_comp,employee_access_to_stock_options,employee_access_to_retirement_plan,employee_pay_salary,employee_pay_hourly,job_safety,hrc_score,supplier_sourcing__social_impact,women_employees,women_managers,employee_satisfaction,employee_retention,third_party_certifications__workforce_related,customer_satisfaction,community_development_investment,board_racial_diversity,management_racial_diversity,overall_racial_diversity,product__service__impact_on_people_AIM CATEGORY,HIP_industry,aim_category,display_name,energy_efficiency,ghg_emissions_scope1&2,ghg_emissions_scope3,waste_production,water_usage,carbon_reductions,renewable_power_usage,supplier_sourcing__environmental_impact,third_party_certifications__environment,product__service__impact_on_planet_AIM CATEGORY,hip_reporting
16,0,0,US9497461015,Banks,Financial Institution,WELLS FARGO & CO,Wells Fargo,Wells Fargo,n,62%,70%,0%,0%,74%,88%,58%,87%,94%,80%,49%,97%,7%,100%,0%,93%,96%,28%,67%,0%,86%,94%,0%,0%,49%,50%,Banks,Financial Institution,Wells Fargo,78%,0%,0%,79%,49%,79%,100%,0%,0%,50%,94%
17,305,306,CA76131D1033,Restaurants & Bars,Food - Fast Food,RESTAURANT BRANDS INTL.,BURGER KING,Burger King,n,35%,45%,69%,0%,7%,34%,9%,42%,92%,0%,13%,49%,7%,0%,70%,0%,0%,13%,20%,0%,86%,20%,0%,0%,0%,35%,Restaurants & Bars,Food - Fast Food,Burger King,3%,68%,0%,20%,3%,0%,0%,69%,4%,35%,22%
18,184,185,CA01626P4033,"Food Retail,Wholesale",Gas Stations,ALIMENTATION COUCHE TARD MTPL.VTG.SHS.'A',CIRCLE K,Circle K,n,29%,44%,0%,0%,2%,19%,1%,0%,0%,0%,45%,49%,24%,0%,0%,83%,81%,32%,20%,0%,0%,20%,0%,0%,0%,25%,"Food Retail,Wholesale",Gas Stations,Circle K,55%,0%,0%,20%,35%,61%,10%,0%,0%,2%,35%
20,152,153,US22160K1051,Broadline Retailers,Grocery,COSTCO WHOLESALE,COSTCO,Costco,n,54%,41%,0%,0%,43%,37%,9%,99%,85%,70%,60%,88%,8%,70%,90%,0%,0%,28%,20%,0%,93%,20%,0%,0%,54%,70%,Broadline Retailers,Grocery,Costco,13%,0%,0%,20%,3%,64%,10%,100%,4%,50%,41%
21,461,462,US6934751057,Banks,Financial Institution,PNC FINL.SVS.GP.,PNC BANK,PNC Bank,n,57%,64%,0%,56%,78%,100%,42%,77%,73%,71%,60%,81%,8%,100%,40%,86%,91%,44%,20%,0%,88%,95%,16%,19%,30%,50%,Banks,Financial Institution,PNC Bank,76%,71%,0%,30%,50%,66%,45%,46%,4%,50%,74%
22,432,433,US0231351067,"Food Retail,Wholesale",Grocery,AMAZON.COM,WHOLE FOODS,Whole Foods,n,49%,27%,0%,53%,67%,44%,21%,56%,89%,52%,54%,91%,10%,100%,90%,91%,67%,6%,20%,0%,68%,20%,0%,0%,0%,70%,"Food Retail,Wholesale",Grocery,Whole Foods,10%,61%,0%,30%,3%,52%,30%,100%,4%,50%,35%
23,517,518,US56585A1025,Exploration & Prod.,Gas Stations,MARATHON PETROLEUM,SPEEDWAY,Speedway,n,40%,34%,100%,0%,28%,85%,21%,84%,83%,88%,48%,49%,45%,0%,70%,94%,0%,28%,20%,100%,0%,35%,28%,10%,34%,25%,Exploration & Prod.,Gas Stations,Speedway,30%,43%,0%,59%,36%,54%,10%,77%,80%,2%,83%
24,505,506,US2566771059,Specialty Retailers,Dollar Store,DOLLAR GENERAL,DOLLAR GENERAL,Dollar General,n,40%,1%,67%,0%,81%,34%,9%,82%,75%,45%,29%,49%,7%,100%,70%,0%,0%,13%,20%,0%,88%,0%,25%,21%,0%,80%,Specialty Retailers,Dollar Store,Dollar General,0%,0%,0%,0%,0%,0%,0%,31%,4%,40%,2%
25,0,636,US30231G1022,Integrated Oil & Gas,Gas Stations,EXXON MOBIL,EXXON,Exxon,n,46%,34%,0%,96%,83%,92%,40%,80%,94%,88%,67%,0%,52%,95%,90%,66%,0%,16%,20%,100%,0%,75%,49%,0%,0%,25%,Integrated Oil & Gas,Gas Stations,Exxon,44%,41%,0%,20%,45%,63%,0%,100%,20%,2%,82%
26,554,555,US9029733048,Banks,Financial Institution,US BANCORP,U.S. BANK,U.S. Bank,n,44%,9%,0%,0%,63%,89%,21%,81%,86%,0%,60%,91%,6%,100%,0%,88%,100%,48%,20%,0%,87%,89%,0%,19%,35%,50%,Banks,Financial Institution,U.S. Bank,13%,0%,0%,20%,0%,10%,10%,0%,0%,50%,26%
27,0,0,US0758961009,Specialty Retailers,Home Furniture & Equipment,BED BATH & BEYOND,BED BATH AND BEYOND,Bed Bath & Beyond,n,43%,46%,0%,0%,49%,34%,21%,10%,82%,54%,56%,58%,7%,20%,70%,68%,92%,14%,20%,0%,89%,20%,31%,0%,0%,65%,Specialty Retailers,Home Furniture & Equipment,Bed Bath & Beyond,3%,64%,0%,20%,3%,2%,10%,77%,4%,35%,43%
28,637,638,US1696561059,Restaurants & Bars,Food - Casual Dining,CHIPOTLE MEXN.GRILL,CHIPOTLE,Chipotle,n,43%,28%,51%,0%,43%,43%,9%,51%,79%,48%,33%,63%,7%,60%,90%,70%,0%,13%,20%,0%,88%,20%,0%,71%,0%,60%,Restaurants & Bars,Food - Casual Dining,Chipotle,3%,61%,0%,20%,3%,53%,10%,100%,4%,35%,23%
29,603,604,US4370761029,Home Improvement Ret.,Home Supply Warehouse,HOME DEPOT,THE HOME DEPOT,The Home Depot,n,55%,55%,0%,0%,59%,96%,9%,83%,77%,58%,43%,71%,13%,100%,70%,81%,71%,13%,20%,0%,90%,40%,28%,38%,50%,65%,Home Improvement Ret.,Home Supply Warehouse,The Home Depot,61%,68%,0%,79%,10%,66%,45%,69%,4%,50%,68%
30,540,541,US7677548726,Drug Retailers,Pharmacy,RITE AID,RITE AID,Rite Aid,n,51%,49%,100%,0%,53%,34%,9%,73%,77%,64%,48%,100%,5%,65%,100%,73%,98%,14%,25%,0%,88%,20%,49%,38%,49%,85%,Drug Retailers,Pharmacy,Rite Aid,57%,69%,0%,20%,0%,0%,9%,100%,4%,55%,31%
31,0,503,US64110L1061,Specialty Retailers,Video,NETFLIX,NETFLIX,Netflix,n,53%,59%,0%,100%,78%,34%,9%,73%,97%,83%,100%,0%,4%,100%,0%,95%,96%,13%,20%,0%,84%,0%,0%,39%,52%,70%,Specialty Retailers,Video,Netflix,73%,82%,0%,0%,0%,6%,50%,0%,4%,70%,26%
32,0,639,US25754A2015,Restaurants & Bars,Food - Casual Dining,DOMINO'S PIZZA,DOMINOS,Domino's Pizza,n,35%,1%,0%,0%,39%,31%,9%,91%,83%,61%,35%,44%,4%,80%,80%,0%,0%,13%,20%,0%,88%,70%,0%,0%,0%,60%,Restaurants & Bars,Food - Casual Dining,Domino's Pizza,0%,0%,0%,0%,0%,0%,0%,100%,4%,35%,9%
33,605,606,US69840W1080,Restaurants & Bars,Food - Casual Dining,PANERA BREAD 'A',PANERA,Panera Bread,n,27%,0%,0%,0%,38%,43%,9%,86%,0%,47%,44%,67%,4%,0%,30%,0%,0%,13%,20%,0%,91%,20%,0%,0%,0%,60%,Restaurants & Bars,Food - Casual Dining,Panera Bread,0%,0%,0%,0%,0%,0%,0%,69%,4%,35%,0%
34,607,608,US0865161014,Specialty Retailers,Electronics Store,BEST BUY,BEST BUY,Best Buy,n,60%,59%,100%,88%,90%,96%,28%,82%,42%,53%,58%,74%,10%,100%,90%,63%,73%,48%,28%,0%,87%,40%,34%,0%,46%,75%,Specialty Retailers,Electronics Store,Best Buy,65%,72%,0%,89%,46%,76%,10%,100%,54%,45%,88%
35,0,640,US8725401090,Apparel Retailers,Department Store,TJX,TJ MAXX,TJ Maxx,n,55%,52%,0%,0%,79%,45%,39%,78%,76%,56%,71%,71%,8%,100%,0%,55%,73%,14%,20%,0%,90%,20%,74%,38%,63%,70%,Apparel Retailers,Department Store,TJ Maxx,52%,0%,0%,30%,3%,64%,72%,0%,0%,40%,71%
36,23,24,US5486611073,Home Improvement Ret.,Home Supply Warehouse,LOWE'S COMPANIES,LOWE,Lowe's,n,53%,52%,0%,82%,62%,54%,58%,73%,75%,60%,44%,94%,13%,75%,90%,0%,0%,56%,20%,0%,89%,83%,37%,42%,0%,65%,Home Improvement Ret.,Home Supply Warehouse,Lowe's,57%,64%,0%,79%,44%,63%,0%,100%,4%,50%,84%
37,542,543,US8725901040,Mobile Telecom.,Wireless - US,T-MOBILE US,SPRINT,Sprint,n,58%,55%,0%,0%,34%,88%,9%,80%,91%,0%,68%,88%,47%,100%,0%,85%,77%,13%,20%,0%,80%,61%,0%,38%,66%,95%,Mobile Telecom.,Wireless - US,Sprint,57%,66%,0%,20%,42%,77%,48%,0%,0%,55%,66%
38,289,290,US00164V1035,Broadcast & Entertain,Movie Theater,AMC NETWORKS CL.A,AMC,AMC,n,32%,0%,0%,0%,41%,37%,9%,0%,96%,0%,0%,0%,4%,0%,60%,100%,0%,13%,20%,0%,0%,0%,0%,0%,0%,80%,Broadcast & Entertain,Movie Theater,AMC,0%,0%,0%,0%,0%,0%,0%,100%,4%,50%,9%
39,447,448,US3994731079,Media Agencies,Online Retail,GROUPON,GROUPON,Groupon,n,45%,0%,0%,0%,58%,42%,9%,91%,95%,61%,35%,94%,4%,100%,0%,92%,0%,13%,20%,0%,0%,20%,0%,0%,0%,80%,Media Agencies,Online Retail,Groupon,0%,0%,0%,0%,0%,0%,0%,0%,0%,60%,9%
40,0,576,US92343V1044,Fixed Line Telecom.,Wireless - US,VERIZON COMMUNICATIONS,VERIZON,Verizon,n,66%,52%,0%,0%,73%,97%,65%,82%,91%,82%,68%,100%,40%,100%,0%,74%,69%,71%,20%,0%,82%,49%,0%,0%,53%,95%,Fixed Line Telecom.,Wireless - US,Verizon,20%,64%,82%,30%,10%,72%,73%,0%,0%,55%,71%
41,155,156,GB0005405286,Banks,Financial Institution,HSBC HDG. (ORD $0.50),HSBC,HSBC,n,74%,83%,100%,100%,66%,75%,70%,100%,87%,83%,94%,100%,26%,100%,70%,97%,71%,81%,61%,25%,0%,64%,0%,0%,0%,50%,Banks,Financial Institution,HSBC,83%,76%,0%,87%,60%,87%,10%,69%,4%,50%,94%
42,434,435,US8725901040,Mobile Telecom.,Wireless - US,T-MOBILE US,T MOBILE,T-Mobile,n,58%,55%,0%,0%,34%,88%,9%,80%,91%,68%,84%,81%,47%,100%,0%,85%,77%,13%,20%,0%,80%,61%,0%,38%,66%,95%,Mobile Telecom.,Wireless - US,T-Mobile,57%,66%,0%,20%,42%,77%,48%,0%,0%,55%,66%
43,579,580,US1729674242,Banks,Financial Institution,CITIGROUP,CITIBANK,Citibank,n,60%,63%,0%,72%,74%,100%,58%,79%,5%,81%,97%,91%,9%,0%,70%,99%,66%,84%,74%,0%,87%,40%,0%,35%,51%,50%,Banks,Financial Institution,Citibank,83%,73%,0%,58%,58%,81%,10%,100%,4%,50%,88%
44,436,437,US0533321024,Specialty Retailers,Auto Parts,AUTOZONE,AUTOZONE,AutoZone,n,45%,44%,0%,0%,58%,34%,9%,77%,77%,69%,57%,63%,7%,65%,90%,58%,58%,14%,25%,0%,90%,20%,0%,0%,0%,45%,Specialty Retailers,Auto Parts,AutoZone,3%,66%,0%,30%,0%,2%,0%,77%,4%,25%,29%
45,0,641,US00206R1023,Fixed Line Telecom.,Wireless - US,AT&T,ATT,AT&T,n,66%,56%,0%,53%,73%,99%,55%,75%,85%,78%,52%,100%,39%,0%,90%,74%,79%,70%,67%,25%,75%,83%,0%,43%,50%,95%,Fixed Line Telecom.,Wireless - US,AT&T,63%,59%,0%,73%,55%,71%,45%,100%,40%,55%,100%
46,158,159,US0846701086,Restaurants & Bars,Food - Fast Food,BERKSHIRE HATHAWAY 'A',DAIRY QUEEN,Dairy Queen,n,28%,2%,0%,0%,56%,44%,9%,0%,0%,0%,27%,44%,7%,20%,90%,0%,0%,13%,20%,0%,0%,20%,0%,0%,0%,35%,Restaurants & Bars,Food - Fast Food,Dairy Queen,3%,0%,0%,20%,3%,0%,0%,77%,20%,35%,1%
47,1,19,US5949181045,Software,Electronics,MICROSOFT,MICROSOFT,Microsoft,n,61%,66%,0%,94%,69%,96%,63%,0%,96%,86%,100%,100%,17%,100%,90%,68%,62%,50%,20%,100%,80%,98%,41%,44%,52%,75%,Software,Electronics,Microsoft,58%,63%,0%,97%,71%,76%,100%,100%,20%,45%,95%
48,349,350,US1912161007,Soft Drinks,Food - Coffee & Snacks,COCA COLA,COCA COLA,Coca Cola,n,57%,49%,0%,45%,69%,97%,71%,80%,87%,73%,40%,94%,38%,0%,40%,87%,98%,24%,20%,100%,91%,95%,0%,0%,0%,45%,Soft Drinks,Food - Coffee & Snacks,Coca Cola,47%,50%,0%,20%,45%,68%,10%,100%,20%,35%,83%
49,0,0,US0893021032,Broadline Retailers,Dollar Store,BIG LOTS,BIG LOTS,Big Lots,n,52%,15%,0%,0%,99%,34%,21%,88%,79%,48%,82%,54%,7%,65%,90%,84%,0%,49%,20%,0%,91%,44%,0%,0%,0%,80%,Broadline Retailers,Dollar Store,Big Lots,3%,0%,0%,0%,3%,0%,0%,69%,4%,40%,26%
51,0,463,US31428X1063,Delivery Services,"Delivery, Shipping",FEDEX,FEDEX,FedEx,n,63%,48%,100%,0%,58%,96%,40%,81%,79%,70%,93%,100%,22%,100%,90%,66%,60%,78%,25%,100%,87%,55%,0%,39%,54%,80%,Delivery Services,"Delivery, Shipping",FedEx,32%,47%,0%,85%,5%,65%,39%,100%,25%,50%,89%
52,142,143,ES0113900J37,Banks,Financial Institution,BANCO SANTANDER,BANCO SANTANDER,Banco Santander,n,69%,79%,0%,100%,80%,96%,60%,100%,5%,0%,95%,97%,52%,0%,70%,94%,58%,67%,71%,0%,0%,92%,0%,0%,0%,50%,Banks,Financial Institution,Banco Santander,83%,77%,0%,20%,49%,87%,87%,69%,20%,50%,97%
53,0,440,US7782961038,Apparel Retailers,Department Store,ROSS STORES,ROSS STORES,Ross,n,52%,46%,0%,0%,46%,43%,9%,88%,80%,46%,10%,63%,9%,90%,70%,54%,60%,13%,20%,0%,86%,20%,0%,0%,80%,70%,Apparel Retailers,Department Store,Ross,13%,68%,0%,20%,3%,2%,0%,69%,4%,40%,41%
54,0,407,US20030N1019,Broadcast & Entertain,Cable & Internet,COMCAST 'A',COMCAST,Comcast,n,59%,51%,64%,45%,43%,89%,21%,69%,90%,78%,97%,100%,11%,100%,90%,77%,88%,24%,20%,0%,72%,94%,56%,0%,49%,95%,Broadcast & Entertain,Cable & Internet,Comcast,13%,64%,0%,20%,5%,2%,10%,69%,4%,50%,53%
55,0,0,US36467W1099,Specialty Retailers,Gaming,GAMESTOP 'A',GAMESTOP,GameStop,n,38%,3%,0%,0%,53%,34%,9%,82%,80%,48%,55%,54%,5%,100%,70%,0%,0%,14%,20%,0%,90%,20%,0%,0%,0%,70%,Specialty Retailers,Gaming,GameStop,3%,0%,0%,30%,0%,2%,0%,15%,4%,45%,1%
56,642,643,US00751Y1064,Specialty Retailers,Auto Parts,ADV.AUTO PARTS,ADVANCE AUTO,Advance Auto,n,49%,38%,0%,0%,46%,44%,9%,70%,77%,0%,59%,49%,74%,20%,60%,0%,70%,32%,25%,0%,89%,20%,0%,19%,0%,45%,Specialty Retailers,Auto Parts,Advance Auto,54%,0%,0%,30%,0%,53%,37%,0%,4%,25%,30%
57,644,645,US2473617023,Airlines,"Airlines - National, US",DELTA AIR LINES,DELTA,Delta,n,48%,24%,0%,48%,48%,58%,16%,82%,0%,76%,76%,0%,63%,100%,70%,86%,0%,100%,20%,25%,76%,79%,0%,29%,48%,65%,Airlines,"Airlines - National, US",Delta,21%,32%,0%,70%,10%,60%,10%,77%,4%,35%,76%
60,380,381,SE0000106270,Apparel Retailers,Apparel,HENNES & MAURITZ 'B',H&M,H&M,n,46%,67%,0%,0%,96%,89%,64%,0%,0%,49%,0%,91%,16%,0%,90%,62%,66%,43%,20%,0%,0%,20%,0%,0%,0%,60%,Apparel Retailers,Apparel,H&M,66%,81%,0%,95%,15%,84%,100%,100%,4%,25%,80%
61,31,32,JP3435000009,Consumer Electronics,Gaming,SONY,PLAYSTATION,PlayStation,n,60%,66%,0%,0%,30%,92%,64%,0%,72%,83%,0%,0%,75%,100%,40%,77%,65%,56%,85%,100%,0%,56%,0%,0%,0%,70%,Consumer Electronics,Gaming,PlayStation,57%,0%,0%,100%,51%,75%,57%,100%,60%,45%,94%
62,139,140,US82968B1035,Broadcast & Entertain,Music & Podcasts,SIRIUS XM HOLDINGS,SIRIUS XM,Sirius XM,n,32%,0%,100%,0%,43%,39%,9%,0%,96%,80%,0%,100%,5%,100%,0%,0%,0%,13%,20%,0%,0%,70%,0%,0%,0%,85%,Broadcast & Entertain,Music & Podcasts,Sirius XM,0%,0%,0%,0%,0%,0%,0%,0%,4%,70%,9%
63,449,450,US8873173038,Broadcast & Entertain,Cable & Internet,TIME WARNER,TIME WARNER,Time Warner,n,38%,9%,0%,0%,49%,55%,10%,72%,0%,81%,91%,74%,9%,100%,0%,94%,0%,34%,20%,0%,73%,40%,0%,36%,42%,95%,Broadcast & Entertain,Cable & Internet,Time Warner,13%,0%,0%,30%,0%,2%,10%,0%,0%,50%,26%
65,57,58,DE0005140008,Banks,Financial Institution,DEUTSCHE BANK,Deutsche Bank,Deutsche Bank,n,65%,80%,0%,0%,76%,100%,61%,100%,0%,82%,100%,0%,13%,100%,60%,93%,0%,34%,80%,25%,71%,85%,0%,0%,0%,50%,Banks,Financial Institution,Deutsche Bank,80%,79%,0%,83%,56%,84%,90%,46%,20%,50%,100%
66,0,441,US5002551043,Apparel Retailers,Department Store,KOHL'S,KOHLS,Kohl's,n,46%,36%,0%,0%,62%,45%,9%,92%,79%,54%,59%,74%,28%,100%,90%,0%,0%,13%,20%,0%,89%,20%,0%,0%,0%,70%,Apparel Retailers,Department Store,Kohl's,3%,64%,0%,100%,8%,56%,53%,77%,4%,40%,42%
67,0,408,US79546E1047,Specialty Retailers,Cosmetics,SALLY BEAUTY HOLDINGS,SALLY BEAUTY,Sally Beauty,n,32%,2%,0%,0%,88%,34%,9%,99%,78%,52%,62%,58%,5%,0%,70%,34%,0%,13%,20%,0%,0%,0%,0%,0%,0%,75%,Specialty Retailers,Cosmetics,Sally Beauty,3%,0%,0%,20%,0%,0%,0%,0%,4%,30%,9%
68,647,648,US30303M1027,Internet,Online Service,FACEBOOK CLASS A,FACEBOOK,Facebook,n,62%,59%,24%,31%,58%,40%,39%,64%,98%,84%,100%,100%,6%,100%,90%,79%,75%,13%,20%,0%,58%,20%,0%,41%,59%,80%,Internet,Online Service,Facebook,66%,63%,0%,30%,59%,64%,100%,69%,4%,70%,56%
69,560,561,GB00B10RZP78,Personal Products,Personal Care,UNILEVER (UK),DOLLAR SHAVE CLUB,Dollar Shave Club,n,71%,57%,0%,0%,89%,97%,70%,100%,84%,81%,72%,0%,60%,100%,0%,76%,100%,67%,91%,0%,0%,40%,0%,0%,0%,75%,Personal Products,Personal Care,Dollar Shave Club,62%,0%,0%,100%,50%,76%,10%,0%,0%,40%,90%
70,292,293,US9113121068,Delivery Services,Printing & Copying,UNITED PARCEL SER.'B',THE UPS STORE,UPS Store,n,62%,48%,0%,0%,63%,94%,52%,85%,81%,89%,40%,58%,26%,100%,0%,54%,62%,60%,20%,0%,91%,81%,0%,0%,46%,70%,Delivery Services,Printing & Copying,UPS Store,49%,0%,0%,96%,54%,67%,36%,0%,0%,45%,100%
72,497,498,US7081601061,Broadline Retailers,Department Store,PENNEY JC,JCPENNEY,JCPenney,x,0%,0%,0%,0%,0%,0%,0%,0%,0%,51%,53%,58%,0%,0%,0%,0%,0%,0%,0%,0%,92%,0%,0%,0%,57%,70%,Broadline Retailers,Department Store,JCPenney,0%,0%,0%,0%,0%,0%,0%,0%,0%,40%,0%
73,464,465,US6556641008,Apparel Retailers,Department Store,NORDSTROM,NORDSTROM,Nordstrom,n,60%,72%,0%,0%,74%,44%,28%,100%,82%,58%,68%,71%,10%,100%,90%,73%,79%,78%,20%,0%,90%,56%,0%,39%,66%,70%,Apparel Retailers,Department Store,Nordstrom,70%,0%,0%,30%,20%,76%,68%,100%,4%,40%,84%
74,0,409,US7587661098,Recreational Services,Movie Theater,REGAL ENTM.GP. 'A',REGAL CINEMA,Regal Cinema,n,21%,0%,0%,0%,33%,39%,9%,10%,0%,52%,48%,58%,6%,85%,40%,0%,0%,13%,20%,0%,0%,40%,0%,0%,0%,80%,Recreational Services,Movie Theater,Regal Cinema,0%,0%,0%,0%,0%,0%,0%,31%,4%,50%,1%
76,592,593,GB00B19NLV48,Business Support Svs.,Credit Reporting Agencies,EXPERIAN,EXPERIAN,Experian,n,59%,50%,62%,100%,46%,34%,55%,98%,91%,82%,78%,100%,50%,0%,60%,90%,71%,57%,61%,0%,0%,67%,0%,0%,41%,80%,Business Support Svs.,Credit Reporting Agencies,Experian,64%,77%,0%,0%,0%,64%,47%,46%,20%,70%,48%
